city_key,country_key,city,country,latitude,longitude,status,source,geoname_id,match_name,notes
methuen,united kingdom,Methuen,United Kingdom,,,unresolved,GeoNames cities500,,,No exact city/country match; review required
metuchen,united states,Metuchen,United States,40.54316,-74.3632,resolved,GeoNames cities500,5101125,Metuchen,canonical/ascii match
mexico city,mexico,Mexico City,Mexico,19.42847,-99.12766,resolved,GeoNames cities500,3530597,Mexico City,canonical/ascii match
milan,italy,Milan,Italy,45.46427,9.18951,resolved,GeoNames cities500,3173435,Milan,canonical/ascii match
minneapolis,united states,Minneapolis,United States,44.97997,-93.26384,resolved,GeoNames cities500,5037649,Minneapolis,canonical/ascii match
mirpur khas,pakistan,Mirpur Khas,Pakistan,25.5276,69.01255,resolved,GeoNames cities500,1170295,Mirpur Khas,canonical/ascii match
monterrey,mexico,Monterrey,Mexico,25.68435,-100.31721,resolved,GeoNames cities500,3995465,Monterrey,canonical/ascii match
monterrey,méxico,Monterrey,México,25.68435,-100.31721,resolved,GeoNames cities500,3995465,Monterrey,canonical/ascii match
montreuil-aux-lions,canada,Montreuil-aux-Lions,Canada,,,unresolved,GeoNames cities500,,,No exact city/country match; review required
montréal,canada,Montréal,Canada,45.50884,-73.58781,resolved,GeoNames cities500,6077243,Montréal,canonical/ascii match
multan,pakistan,Multan,Pakistan,30.19679,71.47824,resolved,GeoNames cities500,1169825,Multan,canonical/ascii match
mumbai,india,Mumbai,India,19.07283,72.88261,resolved,GeoNames cities500,1275339,Mumbai,canonical/ascii match
munich,germany,Munich,Germany,48.13743,11.57549,resolved,GeoNames cities500,2867714,Munich,canonical/ascii match
muscat,oman,Muscat,Oman,23.58413,58.40778,resolved,GeoNames cities500,287286,Muscat,canonical/ascii match
muzaffargarh,pakistan,Muzaffargarh,Pakistan,30.07258,71.19379,resolved,GeoNames cities500,1169605,Muzaffargarh,canonical/ascii match
muzaffarpur,india,Muzaffarpur,India,26.12259,85.39055,resolved,GeoNames cities500,1262330,Muzaffarpur,canonical/ascii match
münster,germany,Münster,Germany,51.96236,7.62571,resolved,GeoNames cities500,2867543,Münster,canonical/ascii match
nairobi,kenya,nairobi,Kenya,-1.28333,36.81667,resolved,GeoNames cities500,184745,Nairobi,canonical/ascii match
nakuru,kenya,Nakuru,Kenya,-0.30719,36.07225,resolved,GeoNames cities500,184622,Nakuru,canonical/ascii match
nancy,france,Nancy,France,48.68439,6.18496,resolved,GeoNames cities500,2990999,Nancy,canonical/ascii match
nashik,india,Nashik,India,19.99727,73.79096,resolved,GeoNames cities500,1261731,Nashik,canonical/ascii match
"naushahro feroze, sindh, pakistan",pakistan,"Naushahro Feroze, Sindh, Pakistan",Pakistan,26.8401,68.12265,resolved,GeoNames cities500,1169143,Naushahro Firoz,canonical/ascii match
navi mumbai,india,Navi Mumbai,India,19.03681,73.01582,resolved,GeoNames cities500,6619347,Navi Mumbai,canonical/ascii match
new cairo,egypt,New Cairo,Egypt,30.03,31.47,resolved,GeoNames cities500,7799991,New Cairo,canonical/ascii match
new delhi,india,New Delhi,India,28.62137,77.2148,resolved,GeoNames cities500,1261481,New Delhi,canonical/ascii match
"new delhi, delhi",india,"New Delhi, Delhi",India,28.62137,77.2148,resolved,GeoNames cities500,1261481,New Delhi,canonical/ascii match
new haven,united states,New Haven,United States,41.30815,-72.92816,resolved,GeoNames cities500,4839366,New Haven,canonical/ascii match
new york,united states,New York,United States,40.71427,-74.00597,resolved,GeoNames cities500,5128581,New York City,canonical/ascii match
new york,united states of america,New York,United States of America,40.71427,-74.00597,resolved,GeoNames cities500,5128581,New York City,canonical/ascii match
new york city,india,New York City,India,,,unresolved,GeoNames cities500,,,No exact city/country match; review required
new york city,united states,New York City,United States,40.71427,-74.00597,resolved,GeoNames cities500,5128581,New York City,canonical/ascii match
new york city,united states of america,New York City,United States of America,40.71427,-74.00597,resolved,GeoNames cities500,5128581,New York City,canonical/ascii match
newburyport,united states,Newburyport,United States,42.81259,-70.87728,resolved,GeoNames cities500,4945256,Newburyport,canonical/ascii match
newport,ireland,Newport,Ireland,52.71111,-8.40972,resolved,GeoNames cities500,2962257,Newport,canonical/ascii match
niamey,niger,Niamey,Niger,13.51366,2.1098,resolved,GeoNames cities500,2440485,Niamey,canonical/ascii match
